ID,Hours_Studied,Attendance,Internal_Score,Lab_Marks,CGPA,PartTime_Job,Sleep_Hours,Internet_Usage,Social_Activity,Final_Exam_Score
89,3.9,83.0,95.0,44.0,8.09,0,5.4,3.8,4,62.5
90,6.0,74.0,83.0,42.0,8.61,0,4.8,1.7,3,67.8
91,5.2,78.0,70.0,38.0,8.32,1,6.0,1.9,9,53.3
92,6.9,75.0,92.0,46.0,8.01,0,5.2,4.2,3,53.9
93,3.6,74.0,71.0,35.0,8.57,1,6.2,5.5,3,55.9
94,4.3,88.0,57.0,43.0,8.67,0,4.4,3.0,5,61.7
95,4.2,84.0,93.0,43.0,8.88,0,6.3,3.6,7,73.8
96,2.1,73.0,78.0,38.0,8.15,0,6.8,6.4,7,54.8
97,5.6,89.0,54.0,42.0,7.33,0,4.0,3.5,4,69.3
98,5.5,83.0,67.0,34.0,7.65,0,6.4,8.2,5,51.3
99,5.0,88.0,57.0,45.0,8.71,0,7.2,4.1,3,61.5
100,4.5,86.0,49.0,39.0,6.68,1,4.8,0.0,8,50.5
101,2.2,72.0,84.0,37.0,7.87,0,7.7,4.5,7,52.8
102,4.2,74.0,99.0,45.0,7.11,0,6.4,3.8,9,47.4
103,4.3,87.0,49.0,36.0,7.53,0,5.3,5.6,9,45.8
104,3.4,86.0,78.0,33.0,8.78,1,5.9,4.3,0,53.8
105,4.7,80.0,60.0,32.0,7.69,0,6.6,2.7,1,62.1
106,5.8,81.0,63.0,43.0,7.55,0,6.1,0.6,8,52.6
107,8.8,93.0,61.0,34.0,6.14,0,6.5,2.6,7,51.7
108,5.3,74.0,57.0,49.0,8.25,1,5.1,1.3,2,56.2
109,5.5,85.0,71.0,30.0,8.15,0,6.2,1.8,7,59.6
110,4.9,78.0,58.0,48.0,9.66,0,4.6,4.2,0,64.9
111,1.2,78.0,74.0,41.0,7.19,1,5.9,6.3,9,50.5
112,4.9,91.0,69.0,40.0,7.72,1,5.1,3.8,3,57.2
113,5.1,88.0,66.0,37.0,7.75,0,5.3,0.6,2,69.4
114,9.9,88.0,56.0,42.0,9.08,1,7.2,3.9,5,73.2
115,4.6,93.0,61.0,40.0,7.4,0,7.1,5.4,6,57.3
116,5.6,80.0,81.0,46.0,7.78,0,6.6,1.8,3,66.2
117,4.9,87.0,78.0,41.0,8.11,0,4.9,2.7,6,60.0
118,2.7,77.0,55.0,41.0,7.69,0,5.7,3.0,8,49.8
119,7.3,83.0,71.0,38.0,7.05,0,7.2,1.4,1,61.4
120,6.5,79.0,81.0,40.0,7.69,1,6.1,4.3,2,61.7
121,6.6,81.0,45.0,42.0,8.57,0,8.3,2.8,4,58.2
122,3.2,86.0,78.0,31.0,6.47,0,6.4,3.8,2,48.9
123,7.8,72.0,60.0,33.0,7.63,0,6.2,1.2,7,54.9
124,2.2,100.0,79.0,44.0,6.8,1,5.7,2.1,9,64.5
125,6.2,70.0,59.0,41.0,8.7,0,6.1,4.4,7,50.5
126,9.4,68.0,43.0,39.0,5.98,0,5.8,2.3,7,42.0
127,3.0,92.0,46.0,40.0,6.94,0,6.7,6.5,8,39.0
128,3.9,88.0,71.0,42.0,7.88,0,7.0,2.2,3,56.1
129,5.2,86.0,74.0,37.0,9.07,1,5.2,3.4,4,66.7
130,4.0,86.0,56.0,36.0,7.43,1,4.7,4.9,4,50.1
131,1.9,80.0,80.0,41.0,6.94,0,4.2,0.2,7,64.8
132,5.1,71.0,45.0,35.0,9.38,1,6.5,0.0,6,61.9
133,2.9,81.0,69.0,42.0,6.05,0,4.9,0.0,8,60.7
134,5.9,73.0,52.0,31.0,5.3,1,3.8,5.5,7,34.2
135,3.2,90.0,60.0,45.0,7.94,0,6.4,1.9,1,66.8
136,8.1,79.0,71.0,42.0,7.0,0,8.5,8.1,9,44.3
137,3.4,72.0,57.0,41.0,6.48,0,6.0,1.9,3,50.2
138,4.4,77.0,64.0,45.0,8.21,0,6.8,3.4,5,59.7
139,6.6,84.0,85.0,48.0,7.74,0,6.1,6.1,1,61.3
140,2.5,74.0,61.0,45.0,6.94,0,5.9,7.0,6,35.0
141,5.5,72.0,83.0,31.0,6.22,0,6.9,7.1,2,47.7
142,7.6,82.0,53.0,34.0,8.37,1,5.7,5.4,2,52.3
143,1.8,82.0,78.0,37.0,8.15,0,6.3,5.0,1,69.9
144,5.4,75.0,92.0,40.0,7.4,0,6.3,4.2,7,56.4
145,5.5,75.0,33.0,43.0,9.35,1,5.3,4.6,5,50.4
146,6.6,82.0,58.0,36.0,6.43,0,7.0,1.9,0,59.5
147,2.5,66.0,79.0,41.0,5.97,0,5.8,1.4,0,65.7
148,2.4,66.0,67.0,36.0,6.81,0,5.2,3.0,6,55.2
149,6.0,73.0,76.0,37.0,7.45,1,6.5,2.7,7,59.3
150,5.6,78.0,61.0,33.0,7.74,0,5.1,2.1,4,49.4
151,5.5,83.0,71.0,35.0,7.26,0,6.0,4.4,4,58.7
152,5.7,95.0,68.0,33.0,7.85,1,6.0,4.9,3,62.8
153,3.6,89.0,88.0,35.0,6.25,1,7.1,3.2,5,60.1
154,5.5,78.0,74.0,45.0,8.94,0,6.5,6.0,5,62.4
155,5.6,80.0,75.0,35.0,7.42,0,6.0,0.7,2,66.0
156,3.6,70.0,64.0,50.0,8.62,0,6.8,2.6,8,51.9
157,8.7,80.0,63.0,42.0,7.84,1,7.4,1.6,6,49.2
158,5.9,77.0,64.0,41.0,7.96,0,6.6,0.0,0,64.3
159,2.6,83.0,76.0,36.0,8.07,0,6.0,2.8,6,73.7
160,6.3,72.0,64.0,44.0,7.95,1,4.7,2.8,4,53.0
161,3.1,85.0,74.0,37.0,8.14,0,4.9,6.0,4,48.3
162,6.6,95.0,100.0,41.0,8.83,0,5.7,4.3,1,80.6
163,7.3,79.0,83.0,50.0,7.7,0,5.4,1.0,3,73.9
164,3.4,84.0,65.0,40.0,8.21,0,5.8,6.7,5,60.7
165,6.9,87.0,88.0,46.0,7.41,0,6.1,5.4,9,61.5
166,5.8,76.0,64.0,36.0,8.94,0,6.5,4.2,6,60.8
167,6.6,82.0,39.0,40.0,6.82,0,5.9,2.5,4,61.5
168,8.8,80.0,55.0,49.0,9.3,0,6.5,1.1,8,58.5
169,4.5,81.0,42.0,37.0,7.46,1,6.1,2.3,2,47.6
170,3.5,72.0,65.0,49.0,6.07,0,4.0,5.2,0,48.5
171,3.2,80.0,70.0,44.0,7.63,1,5.1,6.8,3,50.9
172,3.4,85.0,95.0,37.0,6.82,0,5.9,6.1,8,63.2
173,4.8,95.0,75.0,43.0,8.34,1,4.8,2.0,3,70.1
174,5.7,90.0,67.0,45.0,6.85,1,6.6,0.8,1,67.1
175,5.6,100.0,82.0,43.0,7.05,0,7.5,3.3,9,53.8
176,6.7,72.0,37.0,32.0,5.61,1,7.2,0.0,4,41.9
177,5.0,89.0,74.0,36.0,7.05,1,5.8,3.6,2,50.6
178,7.9,82.0,82.0,39.0,5.08,0,7.5,2.7,8,60.6
179,4.5,100.0,48.0,40.0,5.92,0,6.1,2.1,3,66.4
180,10.4,72.0,87.0,43.0,8.26,0,5.7,0.0,5,73.5
181,6.3,72.0,75.0,41.0,8.29,1,5.4,4.0,1,54.8
182,3.3,74.0,64.0,33.0,7.93,1,5.7,1.9,5,60.9
183,2.9,59.0,79.0,42.0,6.53,1,5.6,0.7,2,53.9
184,6.0,75.0,100.0,43.0,7.45,0,6.2,0.0,8,60.9
185,4.6,72.0,73.0,43.0,7.5,1,6.2,2.9,1,53.7
186,6.4,82.0,74.0,45.0,6.34,0,6.0,6.5,8,48.4
187,5.9,83.0,63.0,44.0,9.0,0,6.4,6.3,4,58.9
188,4.9,99.0,57.0,42.0,8.38,0,7.2,2.1,7,62.2
189,3.3,90.0,82.0,40.0,7.28,0,6.9,1.8,1,62.3
190,2.0,74.0,57.0,32.0,7.53,0,4.5,3.9,5,56.1
191,4.1,71.0,71.0,42.0,7.71,0,3.4,1.0,2,62.0
192,6.7,85.0,63.0,41.0,5.46,0,6.9,3.6,9,45.8
193,5.4,67.0,77.0,41.0,7.25,0,4.6,4.5,4,60.6
194,2.5,98.0,75.0,34.0,6.82,0,5.8,5.5,7,50.1
195,5.3,92.0,86.0,35.0,6.5,0,4.8,2.8,9,51.4
196,5.8,75.0,62.0,45.0,7.22,0,4.2,2.6,0,67.6
197,3.2,63.0,66.0,40.0,9.3,0,6.5,1.2,4,69.6
198,5.3,94.0,55.0,43.0,8.14,0,6.8,1.3,2,64.6
199,5.1,79.0,63.0,40.0,6.93,0,5.4,2.5,3,57.8
200,2.7,92.0,76.0,40.0,8.07,0,3.4,3.7,1,61.6
