ID,Hours_Studied,Attendance,Internal_Score,Lab_Marks,CGPA,PartTime_Job,Sleep_Hours,Internet_Usage,Social_Activity,Final_Exam_Score
77,5.2,82,79,34,6.98,1,5.9,4.7,1,48.9
78,4.4,74,75,49,7.72,0,8.6,1.8,2,61.2
79,5.2,81,100,45,7.48,0,5.2,2.7,6,74.2
80,1,76,87,46,8.69,1,7.6,3.6,5,58.4
81,4.6,81,68,44,10,0,7.7,2.5,7,68.4
82,5.7,87,56,34,6.97,0,5.4,6.2,7,49.8
83,8,96,46,37,7.01,0,6.6,4,5,66.1
84,4,68,73,42,8.54,0,7.6,4.5,9,46.6
85,3.4,100,59,34,8.18,0,5.6,4.3,2,69.3
86,4,60,49,44,9.35,0,5.8,5.3,2,60.6
87,6.8,78,60,39,8.08,1,5.4,3.4,0,54
88,5.7,86,54,38,7.14,0,5,0.4,6,62.4
89,3.9,83,95,44,8.09,0,5.4,3.8,4,62.5
90,6,74,83,42,8.61,0,4.8,1.7,3,67.8
91,5.2,78,70,38,8.32,1,6,1.9,9,53.3
92,6.9,75,92,46,8.01,0,5.2,4.2,3,53.9
93,3.6,74,71,35,8.57,1,6.2,5.5,3,55.9
94,4.3,88,57,43,8.67,0,4.4,3,5,61.7
95,4.2,84,93,43,8.88,0,6.3,3.6,7,73.8
96,2.1,73,78,38,8.15,0,6.8,6.4,7,54.8
97,5.6,89,54,42,7.33,0,4,3.5,4,69.3
98,5.5,83,67,34,7.65,0,6.4,8.2,5,51.3
99,5,88,57,45,8.71,0,7.2,4.1,3,61.5
100,4.5,86,49,39,6.68,1,4.8,0,8,50.5
101,2.2,72,84,37,7.87,0,7.7,4.5,7,52.8
102,4.2,74,99,45,7.11,0,6.4,3.8,9,47.4
103,4.3,87,49,36,7.53,0,5.3,5.6,9,45.8
104,3.4,86,78,33,8.78,1,5.9,4.3,0,53.8
105,4.7,80,60,32,7.69,0,6.6,2.7,1,62.1
106,5.8,81,63,43,7.55,0,6.1,0.6,8,52.6
107,8.8,93,61,34,6.14,0,6.5,2.6,7,51.7
108,5.3,74,57,49,8.25,1,5.1,1.3,2,56.2
109,5.5,85,71,30,8.15,0,6.2,1.8,7,59.6
110,4.9,78,58,48,9.66,0,4.6,4.2,0,64.9
111,1.2,78,74,41,7.19,1,5.9,6.3,9,50.5
112,4.9,91,69,40,7.72,1,5.1,3.8,3,57.2
113,5.1,88,66,37,7.75,0,5.3,0.6,2,69.4
114,9.9,88,56,42,9.08,1,7.2,3.9,5,73.2
115,4.6,93,61,40,7.4,0,7.1,5.4,6,57.3
116,5.6,80,81,46,7.78,0,6.6,1.8,3,66.2
117,4.9,87,78,41,8.11,0,4.9,2.7,6,60
118,2.7,77,55,41,7.69,0,5.7,3,8,49.8
119,7.3,83,71,38,7.05,0,7.2,1.4,1,61.4
120,6.5,79,81,40,7.69,1,6.1,4.3,2,61.7
121,6.6,81,45,42,8.57,0,8.3,2.8,4,58.2
122,3.2,86,78,31,6.47,0,6.4,3.8,2,48.9
123,7.8,72,60,33,7.63,0,6.2,1.2,7,54.9
124,2.2,100,79,44,6.8,1,5.7,2.1,9,64.5
125,6.2,70,59,41,8.7,0,6.1,4.4,7,50.5
126,9.4,68,43,39,5.98,0,5.8,2.3,7,42
127,3,92,46,40,6.94,0,6.7,6.5,8,39
128,3.9,88,71,42,7.88,0,7,2.2,3,56.1
129,5.2,86,74,37,9.07,1,5.2,3.4,4,66.7
130,4,86,56,36,7.43,1,4.7,4.9,4,50.1
131,1.9,80,80,41,6.94,0,4.2,0.2,7,64.8
132,5.1,71,45,35,9.38,1,6.5,0,6,61.9
133,2.9,81,69,42,6.05,0,4.9,0,8,60.7
134,5.9,73,52,31,5.3,1,3.8,5.5,7,34.2
135,3.2,90,60,45,7.94,0,6.4,1.9,1,66.8
136,8.1,79,71,42,7,0,8.5,8.1,9,44.3
137,3.4,72,57,41,6.48,0,6,1.9,3,50.2
138,4.4,77,64,45,8.21,0,6.8,3.4,5,59.7
139,6.6,84,85,48,7.74,0,6.1,6.1,1,61.3
140,2.5,74,61,45,6.94,0,5.9,7,6,35
141,5.5,72,83,31,6.22,0,6.9,7.1,2,47.7
142,7.6,82,53,34,8.37,1,5.7,5.4,2,52.3
143,1.8,82,78,37,8.15,0,6.3,5,1,69.9
144,5.4,75,92,40,7.4,0,6.3,4.2,7,56.4
145,5.5,75,33,43,9.35,1,5.3,4.6,5,50.4
146,6.6,82,58,36,6.43,0,7,1.9,0,59.5
147,2.5,66,79,41,5.97,0,5.8,1.4,0,65.7
148,2.4,66,67,36,6.81,0,5.2,3,6,55.2
149,6,73,76,37,7.45,1,6.5,2.7,7,59.3
150,5.6,78,61,33,7.74,0,5.1,2.1,4,49.4
151,5.5,83,71,35,7.26,0,6,4.4,4,58.7
152,5.7,95,68,33,7.85,1,6,4.9,3,62.8
153,3.6,89,88,35,6.25,1,7.1,3.2,5,60.1
154,5.5,78,74,45,8.94,0,6.5,6,5,62.4
155,5.6,80,75,35,7.42,0,6,0.7,2,66
156,3.6,70,64,50,8.62,0,6.8,2.6,8,51.9
157,8.7,80,63,42,7.84,1,7.4,1.6,6,49.2
158,5.9,77,64,41,7.96,0,6.6,0,0,64.3
159,2.6,83,76,36,8.07,0,6,2.8,6,73.7
160,6.3,72,64,44,7.95,1,4.7,2.8,4,53
161,3.1,85,74,37,8.14,0,4.9,6,4,48.3
162,6.6,95,100,41,8.83,0,5.7,4.3,1,80.6
163,7.3,79,83,50,7.7,0,5.4,1,3,73.9
164,3.4,84,65,40,8.21,0,5.8,6.7,5,60.7
165,6.9,87,88,46,7.41,0,6.1,5.4,9,61.5
166,5.8,76,64,36,8.94,0,6.5,4.2,6,60.8
167,6.6,82,39,40,6.82,0,5.9,2.5,4,61.5
168,8.8,80,55,49,9.3,0,6.5,1.1,8,58.5
169,4.5,81,42,37,7.46,1,6.1,2.3,2,47.6
170,3.5,72,65,49,6.07,0,4,5.2,0,48.5
171,3.2,80,70,44,7.63,1,5.1,6.8,3,50.9
172,3.4,85,95,37,6.82,0,5.9,6.1,8,63.2
173,4.8,95,75,43,8.34,1,4.8,2,3,70.1
174,5.7,90,67,45,6.85,1,6.6,0.8,1,67.1
175,5.6,100,82,43,7.05,0,7.5,3.3,9,53.8
176,6.7,72,37,32,5.61,1,7.2,0,4,41.9
177,5,89,74,36,7.05,1,5.8,3.6,2,50.6
178,7.9,82,82,39,5.08,0,7.5,2.7,8,60.6
179,4.5,100,48,40,5.92,0,6.1,2.1,3,66.4
180,10.4,72,87,43,8.26,0,5.7,0,5,73.5
181,6.3,72,75,41,8.29,1,5.4,4,1,54.8
182,3.3,74,64,33,7.93,1,5.7,1.9,5,60.9
183,2.9,59,79,42,6.53,1,5.6,0.7,2,53.9
184,6,75,100,43,7.45,0,6.2,0,8,60.9
185,4.6,72,73,43,7.5,1,6.2,2.9,1,53.7
186,6.4,82,74,45,6.34,0,6,6.5,8,48.4
187,5.9,83,63,44,9,0,6.4,6.3,4,58.9
188,4.9,99,57,42,8.38,0,7.2,2.1,7,62.2
189,3.3,90,82,40,7.28,0,6.9,1.8,1,62.3
190,2,74,57,32,7.53,0,4.5,3.9,5,56.1
191,4.1,71,71,42,7.71,0,3.4,1,2,62
192,6.7,85,63,41,5.46,0,6.9,3.6,9,45.8
193,5.4,67,77,41,7.25,0,4.6,4.5,4,60.6
194,2.5,98,75,34,6.82,0,5.8,5.5,7,50.1
195,5.3,92,86,35,6.5,0,4.8,2.8,9,51.4
196,5.8,75,62,45,7.22,0,4.2,2.6,0,67.6
197,3.2,63,66,40,9.3,0,6.5,1.2,4,69.6
198,5.3,94,55,43,8.14,0,6.8,1.3,2,64.6
199,5.1,79,63,40,6.93,0,5.4,2.5,3,57.8
200,2.7,92,76,40,8.07,0,3.4,3.7,1,61.6
